filename,width,height,class,xmin,ymin,xmax,ymax
00856.jpg,1280,720,rumex,1,86,1028,684
00241.jpg,1280,720,rumex,403,1,977,483
002_00541.jpg,1280,720,rumex,1044,11,1128,112
017_top_grass00121.jpg,1280,720,rumex,692,205,761,263
017_top_grass00121.jpg,1280,720,rumex,532,253,634,328
01381.jpg,1280,720,rumex,1,1,666,326
001_00181.jpg,1280,720,rumex,707,344,910,595
001_00181.jpg,1280,720,rumex,927,563,965,634
001_00181.jpg,1280,720,rumex,388,240,565,431
001_00181.jpg,1280,720,rumex,1061,1,1278,235
019_top_grass00111.jpg,1280,720,rumex,706,557,790,616
019_top_grass00111.jpg,1280,720,rumex,677,449,731,527
026_00091.jpg,1280,720,rumex,872,347,995,524
026_00091.jpg,1280,720,rumex,740,124,877,274
01011.jpg,1280,720,rumex,4,1,506,700
002_00486.jpg,1280,720,rumex,665,281,881,435
002_00486.jpg,1280,720,rumex,690,395,921,608
002_00486.jpg,1280,720,rumex,728,497,964,708
008_00106.jpg,1280,720,rumex,447,491,699,655
025_hand_grass00026.jpg,1280,720,rumex,615,169,854,238
008_00021.jpg,1280,720,rumex,530,1,614,69
004_00346.jpg,1280,720,rumex,565,575,899,720
00256.jpg,1280,720,rumex,416,1,994,489
01471.jpg,1280,720,rumex,1,80,940,695
019_top_grass00081.jpg,1280,720,rumex,753,401,827,457
019_top_grass00081.jpg,1280,720,rumex,718,299,773,368
00866.jpg,1280,720,rumex,1,85,1160,695
01361.jpg,1280,720,rumex,8,1,622,432
022_top_bush00156.jpg,1280,720,rumex,515,662,659,720
00266.jpg,1280,720,rumex,407,1,1024,485
01586.jpg,1280,720,rumex,1,3,940,684
017_top_grass00276.jpg,1280,720,rumex,442,207,626,327
017_top_grass00276.jpg,1280,720,rumex,756,233,884,330
01521.jpg,1280,720,rumex,7,1,998,697
00356.jpg,1280,720,rumex,293,1,1048,629
00891.jpg,1280,720,rumex,1,28,1030,706
01816.jpg,1280,720,rumex,3,1,1048,720
003_00096.jpg,1280,720,rumex,384,283,744,489
028_00126.jpg,1280,720,rumex,558,320,896,618
017_top_grass00176.jpg,1280,720,rumex,752,641,827,684
017_top_grass00176.jpg,1280,720,rumex,593,673,701,720
00841.jpg,1280,720,rumex,1,117,1012,708
008_00051.jpg,1280,720,rumex,496,154,731,314
00906.jpg,1280,720,rumex,3,26,1082,720
024_hand_bush00131.jpg,1280,720,rumex,451,229,839,559
023_top_bush00056.jpg,1280,720,rumex,574,1,1106,548
01281.jpg,1280,720,rumex,1,1,617,625
00651.jpg,1280,720,rumex,19,59,1146,695
00191.jpg,1280,720,rumex,543,1,1024,440
003_00101.jpg,1280,720,rumex,384,329,707,526
00821.jpg,1280,720,rumex,1,36,1207,688
01766.jpg,1280,720,rumex,19,13,1116,720
01616.jpg,1280,720,rumex,1,2,973,689
027_00091.jpg,1280,720,rumex,447,489,559,648
01031.jpg,1280,720,rumex,1,33,329,683
018_top_grass00146.jpg,1280,720,rumex,610,448,701,593
018_top_grass00146.jpg,1280,720,rumex,695,286,737,375
024_hand_bush00211.jpg,1280,720,rumex,510,275,691,451
008_00061.jpg,1280,720,rumex,528,241,735,388
00591.jpg,1280,720,rumex,13,27,1280,717
030_00081.jpg,1280,720,rumex,593,161,801,454
00956.jpg,1280,720,rumex,21,1,879,712
018_top_grass00171.jpg,1280,720,rumex,447,337,543,473
018_top_grass00171.jpg,1280,720,rumex,543,175,582,273
017_top_grass00051.jpg,1280,720,rumex,621,357,696,405
017_top_grass00051.jpg,1280,720,rumex,461,272,571,357
00341.jpg,1280,720,rumex,315,1,1088,630
00751.jpg,1280,720,rumex,34,8,1252,665
00601.jpg,1280,720,rumex,3,10,1280,719
022_top_bush00221.jpg,1280,720,rumex,434,135,817,720
002_00086.jpg,1280,720,rumex,1,2,233,246
002_00086.jpg,1280,720,rumex,432,1,742,241
002_00086.jpg,1280,720,rumex,775,361,876,609
002_00086.jpg,1280,720,rumex,567,112,991,426
002_00086.jpg,1280,720,rumex,830,154,1242,577
002_00086.jpg,1280,720,rumex,947,1,1188,206
002_00086.jpg,1280,720,rumex,818,37,1113,177
00196.jpg,1280,720,rumex,531,1,1027,454
00876.jpg,1280,720,rumex,9,60,1122,720
00706.jpg,1280,720,rumex,8,1,1270,700
025_hand_grass00096.jpg,1280,720,rumex,393,299,876,423
022_top_bush00186.jpg,1280,720,rumex,368,1,743,475
028_00106.jpg,1280,720,rumex,484,129,839,423
00181.jpg,1280,720,rumex,600,1,1062,412
01656.jpg,1280,720,rumex,1,12,1056,706
026_00136.jpg,1280,720,rumex,805,476,949,614
00461.jpg,1280,720,rumex,45,12,1168,720
027_00066.jpg,1280,720,rumex,485,269,582,404
027_00066.jpg,1280,720,rumex,725,531,795,674
027_00021.jpg,1280,720,rumex,504,301,575,461
027_00021.jpg,1280,720,rumex,255,40,353,186
022_top_bush00241.jpg,1280,720,rumex,461,431,833,720
008_00076.jpg,1280,720,rumex,496,295,739,455
01371.jpg,1280,720,rumex,10,1,665,422
00646.jpg,1280,720,rumex,39,37,1132,706
00996.jpg,1280,720,rumex,4,1,705,717
00156.jpg,1280,720,rumex,648,1,1096,347
026_00156.jpg,1280,720,rumex,841,598,991,720
017_top_grass00091.jpg,1280,720,rumex,424,670,509,720
017_top_grass00091.jpg,1280,720,rumex,524,25,629,105
00481.jpg,1280,720,rumex,13,19,1195,720
021_top_bush00021.jpg,1280,720,rumex,529,1,895,128
